bib,age,5k_minutes,10k_minutes,15k_minutes,20k_minutes,Half_minutes,25k_minutes,30k_minutes,35k_minutes,40k_minutes,gender_F,gender_M,finish_minutes
1815,29.0,19.9,40.75,,,,,,,,0,1,186.17
11713,28.0,21.42,42.88,,,,,,,,1,0,186.2
2926,34.0,20.65,41.52,,,,,,,,0,1,186.32
5617,38.0,21.77,42.92,,,,,,,,0,1,186.37
15518,29.0,22.53,44.85,,,,,,,,1,0,186.43
10274,36.0,22.72,44.45,,,,,,,,1,0,186.45
11434,30.0,21.88,43.08,,,,,,,,1,0,186.65
6735,26.0,25.05,45.75,,,,,,,,0,1,186.7
9630,30.0,22.22,44.27,,,,,,,,1,0,186.85
8441,35.0,22.95,44.93,,,,,,,,0,1,186.87
8392,25.0,21.22,42.53,,,,,,,,1,0,186.9
4210,23.0,20.62,40.37,,,,,,,,0,1,187.1
8635,38.0,20.58,41.13,,,,,,,,0,1,187.12
6155,33.0,21.25,42.33,,,,,,,,0,1,187.12
8176,38.0,20.82,42.53,,,,,,,,0,1,187.25
5220,21.0,21.08,41.87,,,,,,,,0,1,187.3
12415,30.0,22.37,44.15,,,,,,,,1,0,187.3
5068,39.0,20.58,41.22,,,,,,,,0,1,187.42
8541,38.0,21.37,42.68,,,,,,,,0,1,187.43
6117,27.0,22.27,43.63,,,,,,,,0,1,187.63
3833,32.0,22.35,43.97,,,,,,,,0,1,187.72
2934,24.0,19.45,39.58,,,,,,,,0,1,187.93
9495,27.0,21.9,43.85,,,,,,,,1,0,187.98
8553,37.0,22.2,43.92,,,,,,,,0,1,188.07
12247,28.0,23.23,45.85,,,,,,,,1,0,188.47
6474,38.0,20.82,41.53,,,,,,,,1,0,188.57
10348,37.0,22.78,45.1,,,,,,,,1,0,188.6
8273,29.0,21.75,43.23,,,,,,,,1,0,188.72
1390,26.0,20.9,41.3,,,,,,,,0,1,188.83
2863,32.0,20.67,41.03,,,,,,,,0,1,188.87
13943,34.0,22.9,44.62,,,,,,,,1,0,188.88
5201,38.0,23.57,46.58,,,,,,,,0,1,189.22
10693,21.0,21.37,41.98,,,,,,,,1,0,189.52
11764,25.0,20.98,42.12,,,,,,,,1,0,189.52
10774,27.0,23.25,45.4,,,,,,,,1,0,189.53
8693,39.0,21.6,43.23,,,,,,,,0,1,189.62
11423,32.0,23.1,45.58,,,,,,,,1,0,189.63
10571,28.0,22.33,44.5,,,,,,,,1,0,189.68
9639,30.0,21.83,43.77,,,,,,,,1,0,189.7
7564,39.0,21.47,43.38,,,,,,,,0,1,189.72
6822,36.0,21.95,43.57,,,,,,,,0,1,189.72
4025,39.0,21.78,43.88,,,,,,,,0,1,189.75
4911,34.0,20.85,40.9,,,,,,,,0,1,189.87
8544,32.0,21.57,43.35,,,,,,,,1,0,189.92
6031,33.0,21.08,41.68,,,,,,,,0,1,190.0
4758,28.0,21.08,41.88,,,,,,,,0,1,190.03
10548,35.0,22.32,44.13,,,,,,,,1,0,191.25
3692,32.0,22.02,44.12,,,,,,,,0,1,191.28
12637,25.0,23.17,46.12,,,,,,,,1,0,191.32
13573,37.0,22.43,44.78,,,,,,,,1,0,191.4
