bib,age,20k_minutes,avg_pace_to_20k,perc_decay_15k_to_20k,finish_minutes
22729,46,105.43,11.38,-0.19,225.3
18804,39,107.37,11.18,0.43,225.33
11554,46,98.45,12.19,-0.48,225.33
13432,46,96.63,12.42,-2.54,225.33
29964,44,105.23,11.4,0.16,225.33
27958,24,106.13,11.31,0.41,225.33
14433,37,90.08,13.32,-0.49,225.33
22838,52,105.33,11.39,-0.41,225.35
17325,39,99.55,12.05,0.08,225.35
17564,44,107.12,11.2,-0.42,225.35
14276,52,101.35,11.84,-1.03,225.35
22590,62,106.37,11.28,0.03,225.37
21816,47,104.67,11.46,-0.35,225.37
19048,61,100.03,12.0,0.17,225.37
10297,49,101.57,11.81,-1.26,225.38
21064,60,106.65,11.25,-0.63,225.4
17544,38,101.68,11.8,-1.22,225.4
20082,41,104.38,11.5,-0.34,225.4
18657,55,103.23,11.62,-0.97,225.42
21897,58,102.68,11.69,0.44,225.42
20498,53,106.2,11.3,-0.63,225.42
19299,57,103.05,11.64,-0.07,225.42
29158,46,107.97,11.11,0.52,225.42
27601,38,108.92,11.02,1.18,225.43
10776,53,98.28,12.21,-0.49,225.43
25382,57,104.77,11.45,-0.06,225.43
9762,52,108.15,11.1,-0.24,225.43
18875,56,98.95,12.13,-0.89,225.45
20815,61,107.0,11.21,0.54,225.45
21154,63,105.62,11.36,-0.17,225.45
26146,54,106.45,11.27,0.87,225.47
22155,51,106.75,11.24,0.48,225.47
15351,40,101.32,11.84,-0.87,225.48
27259,33,107.53,11.16,0.47,225.48
27943,37,101.47,11.83,-1.09,225.5
27838,52,107.82,11.13,0.23,225.5
19147,55,106.37,11.28,0.32,225.52
14262,64,100.27,11.97,-0.84,225.52
22086,64,107.22,11.19,0.11,225.52
21845,56,102.63,11.69,-0.32,225.52
11442,45,100.95,11.89,-0.15,225.53
12885,45,93.4,12.85,0.46,225.53
22248,60,102.53,11.7,-0.52,225.53
16747,43,104.63,11.47,-0.7,225.57
21792,58,104.42,11.49,-0.7,225.57
20427,59,105.42,11.38,0.11,225.57
15894,57,100.87,11.9,-0.84,225.58
14925,31,96.47,12.44,-2.66,225.58
21801,64,104.73,11.46,-0.1,225.6
29163,34,102.08,11.76,-0.95,225.6
31529,43,107.82,11.13,0.2,225.63
27638,35,102.92,11.66,-1.22,225.63
14347,40,98.23,12.22,-1.28,225.63
27456,35,104.4,11.49,-0.15,225.63
21875,50,106.48,11.27,-0.3,225.65
15024,50,95.98,12.5,-0.33,225.65
19256,40,105.28,11.4,0.03,225.65
21478,49,106.03,11.32,-0.28,225.67
13206,50,106.62,11.25,-0.54,225.67
25453,24,108.12,11.1,0.96,225.67
13503,54,91.02,13.18,-2.61,225.68
21760,51,106.3,11.29,-0.37,225.7
21026,50,106.05,11.32,0.02,225.72
10911,53,89.25,13.45,-0.4,225.72
17491,28,98.7,12.16,-0.48,225.72
12492,49,97.67,12.29,-0.89,225.72
17493,47,104.02,11.54,0.04,225.72
20695,40,103.08,11.64,-0.5,225.72
17142,58,100.58,11.93,-0.47,225.73
17120,24,100.58,11.93,-0.44,225.73
20697,65,106.6,11.26,-0.29,225.73
23045,58,106.13,11.31,0.23,225.73
19378,45,103.53,11.59,-0.29,225.75
3757,45,98.93,12.13,-2.72,225.75
21931,62,106.37,11.28,0.32,225.75
21246,46,106.6,11.26,-1.75,225.75
14552,58,100.1,11.99,-1.14,225.77
14245,27,106.17,11.3,0.05,225.77
13713,61,106.17,11.3,0.05,225.77
15558,31,101.07,11.87,-1.02,225.77
20171,40,103.47,11.6,-0.26,225.8
13575,53,96.82,12.39,-0.53,225.8
18263,59,101.95,11.77,0.81,225.82
16415,36,104.05,11.53,0.76,225.82
21682,48,106.78,11.24,-0.02,225.83
26814,29,108.93,11.02,0.88,225.83
