bib,age,5k_minutes,10k_minutes,15k_minutes,20k_minutes,Half_minutes,25k_minutes,30k_minutes,35k_minutes,40k_minutes,gender_F,gender_M,pace_5k_to_10k,percentage_decay_5k_to_10k,finish_minutes
2220,26.0,20.8,41.92,62.9,83.9,0.0,0.0,0.0,0.0,0.0,0,1,14.2,-0.76,174.1
5238,38.0,20.37,40.32,60.28,80.53,84.98,100.73,0.0,0.0,0.0,0,1,15.04,1.04,174.12
1350,27.0,18.87,37.55,56.28,75.42,79.57,94.67,115.02,0.0,0.0,0,1,16.06,0.51,174.12
4917,36.0,20.25,40.27,60.45,0.0,0.0,0.0,0.0,0.0,0.0,0,1,14.99,0.57,174.22
5125,30.0,20.8,41.27,61.7,82.4,86.8,102.83,0.0,0.0,0.0,0,1,14.66,0.8,174.25
6290,24.0,20.98,41.72,62.38,83.17,0.0,0.0,0.0,0.0,0.0,0,1,14.46,0.58,174.53
7233,27.0,20.8,41.33,61.87,82.53,87.0,102.83,0.0,0.0,0.0,1,0,14.61,0.65,174.7
5109,36.0,20.72,40.95,61.8,82.22,86.67,102.63,123.42,144.2,165.35,0,1,14.83,1.2,174.83
5922,28.0,21.23,42.07,62.88,83.78,88.32,104.5,125.37,0.0,0.0,1,0,14.4,0.93,174.85
1750,28.0,19.67,39.45,59.33,79.22,83.58,99.5,121.02,143.08,165.93,0,1,15.17,-0.28,175.02
3338,30.0,19.15,38.1,57.47,77.48,81.87,98.37,120.33,0.0,0.0,0,1,15.83,0.52,175.05
3705,24.0,21.12,41.73,62.37,83.43,88.0,104.12,0.0,0.0,0.0,0,1,14.56,1.22,175.1
4820,29.0,20.1,40.0,59.93,80.15,84.6,100.6,121.62,0.0,0.0,0,1,15.08,0.5,175.22
1017,32.0,19.43,39.37,60.62,80.97,85.42,102.88,123.87,145.2,166.08,0,1,15.05,-1.3,175.25
8004,36.0,19.68,40.0,60.75,81.57,86.08,102.43,123.57,145.2,166.07,0,1,14.76,-1.6,175.4
3465,29.0,20.78,40.97,61.65,82.45,86.95,103.15,0.0,0.0,0.0,0,1,14.86,1.44,175.4
902,32.0,19.87,40.75,61.5,81.53,85.75,101.15,121.38,142.63,164.27,0,1,14.37,-2.48,175.57
1509,32.0,19.05,37.72,56.65,76.3,80.6,96.88,119.12,143.1,165.87,0,1,16.07,1.01,175.73
2767,31.0,20.63,41.08,61.67,82.65,87.18,103.47,124.78,0.0,0.0,1,0,14.67,0.44,175.78
3059,36.0,20.32,40.2,60.23,80.45,84.87,100.73,121.9,143.78,0.0,0,1,15.09,1.09,176.05
4638,32.0,20.58,40.8,60.75,80.8,85.27,101.15,122.25,144.25,166.45,0,1,14.84,0.88,176.07
5628,24.0,21.12,41.73,62.37,83.43,88.0,104.13,125.15,146.2,167.08,0,1,14.56,1.22,176.17
4971,31.0,21.2,42.12,63.0,83.93,88.42,0.0,0.0,0.0,0.0,0,1,14.34,0.66,176.23
7513,29.0,20.8,41.95,62.93,0.0,0.0,0.0,0.0,0.0,0.0,0,1,14.18,-0.83,176.33
3426,32.0,20.82,41.4,62.0,82.48,86.98,103.1,123.9,144.78,166.77,0,1,14.58,0.58,176.37
7072,25.0,20.68,41.38,62.17,82.9,87.47,103.87,125.1,146.52,0.0,1,0,14.49,-0.05,176.38
4671,39.0,20.72,41.18,61.75,82.53,87.12,103.47,124.43,146.13,167.25,1,0,14.66,0.63,176.45
4661,39.0,20.63,41.37,62.25,83.17,87.55,0.0,0.0,0.0,0.0,0,1,14.46,-0.27,176.53
25813,38.0,19.88,39.3,59.57,80.63,85.12,101.38,122.78,145.02,166.82,0,1,15.45,1.17,176.57
5679,39.0,20.27,40.55,61.13,81.82,0.0,0.0,0.0,0.0,0.0,0,1,14.79,-0.02,176.58
3374,28.0,21.3,42.1,62.98,84.03,0.0,0.0,0.0,0.0,0.0,1,0,14.42,1.19,176.67
2791,28.0,20.9,41.62,62.42,83.27,87.77,104.1,125.22,146.57,167.45,0,1,14.48,0.43,176.67
11028,28.0,22.17,42.6,63.1,83.72,88.23,104.3,125.43,147.05,167.48,1,0,14.68,4.08,176.7
9862,31.0,21.05,41.35,61.85,0.0,0.0,0.0,0.0,0.0,0.0,1,0,14.78,1.81,176.73
5722,34.0,20.32,40.3,60.15,80.05,84.33,99.92,0.0,0.0,0.0,0,1,15.02,0.84,176.75
1864,24.0,18.58,37.57,57.2,77.65,82.12,98.17,120.78,144.57,167.6,0,1,15.8,-1.09,176.97
4381,32.0,21.07,42.12,63.07,83.9,88.43,104.58,125.52,146.45,167.53,0,1,14.25,0.05,177.0
6823,39.0,21.02,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,14.87,2.04,177.27
6047,33.0,21.52,42.8,63.83,85.38,89.88,105.93,127.03,147.95,168.17,0,1,14.1,0.56,177.28
6951,38.0,20.85,41.13,61.9,82.12,86.57,102.43,0.0,0.0,0.0,0,1,14.79,1.39,177.43
5602,31.0,21.07,41.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,14.44,0.69,177.53
5368,37.0,21.63,42.73,63.6,84.6,89.18,105.55,0.0,0.0,0.0,0,1,14.22,1.24,177.57
2417,27.0,19.95,39.55,59.5,80.0,84.43,0.0,0.0,0.0,0.0,0,1,15.31,0.88,177.62
5404,35.0,21.37,42.48,63.55,84.77,89.38,105.87,127.4,148.92,168.75,0,1,14.21,0.61,177.63
3380,29.0,20.53,40.85,61.3,81.87,86.38,102.47,123.68,145.53,0.0,0,1,14.76,0.51,177.65
4038,27.0,20.68,40.9,61.43,82.42,86.83,103.27,124.75,0.0,0.0,0,1,14.84,1.12,177.68
4505,29.0,20.75,41.23,61.77,82.53,86.92,102.75,124.25,0.0,0.0,0,1,14.65,0.65,177.68
1953,24.0,19.78,39.28,59.07,79.27,83.67,99.83,121.05,144.03,166.2,0,1,15.38,0.71,177.73
5384,36.0,20.97,41.67,62.42,83.1,87.55,104.4,125.67,0.0,0.0,0,1,14.49,0.65,177.75
2832,24.0,20.92,41.87,62.42,83.23,87.75,104.1,125.63,147.6,0.0,0,1,14.32,-0.07,177.93
10416,33.0,22.03,42.97,63.55,84.45,88.93,105.37,127.0,148.37,168.83,1,0,14.33,2.54,177.97
3583,29.0,20.87,41.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,14.52,0.51,178.1
6211,25.0,20.82,40.93,60.85,81.18,85.52,101.42,122.53,145.72,168.57,1,0,14.92,1.73,178.22
2968,37.0,18.88,37.63,56.73,0.0,0.0,0.0,0.0,0.0,0.0,0,1,16.0,0.35,178.27
1681,26.0,19.52,38.77,57.98,77.48,81.7,97.22,118.18,142.73,167.32,0,1,15.58,0.7,178.32
3821,25.0,20.23,40.6,61.2,81.98,86.57,103.02,124.63,146.85,168.82,0,1,14.73,-0.34,178.4
5639,27.0,21.35,42.48,63.52,84.57,89.22,105.62,126.88,148.15,0.0,0,1,14.2,0.52,178.68
6444,31.0,21.15,41.83,62.43,83.15,87.68,103.88,125.07,0.0,0.0,0,1,14.51,1.12,178.7
5130,38.0,21.62,42.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,14.27,1.38,178.85
6838,29.0,21.02,42.17,63.23,84.18,88.67,0.0,0.0,0.0,0.0,1,0,14.18,-0.31,178.9
9809,32.0,20.7,41.2,61.8,82.73,87.32,103.9,125.57,147.77,169.67,1,0,14.63,0.49,179.05
3731,30.0,21.53,42.97,64.42,85.53,90.12,106.48,127.7,148.7,169.75,0,1,13.99,0.21,179.08
4924,37.0,21.37,42.5,63.65,0.0,0.0,0.0,0.0,0.0,0.0,0,1,14.2,0.56,179.1
