bib,age,5k_minutes,10k_minutes,15k_minutes,20k_minutes,Half_minutes,25k_minutes,30k_minutes,35k_minutes,40k_minutes,gender_F,gender_M,finish_minutes
5130,38.0,21.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
6838,29.0,21.02,42.17,63.23,84.18,0.0,0.0,0.0,0.0,0.0,0,0,0.0
9809,32.0,20.7,41.2,61.8,82.73,87.32,103.9,125.57,147.77,169.67,1,0,179.05
3731,30.0,21.53,42.97,64.42,85.53,90.12,106.48,127.7,148.7,169.75,0,1,179.08
4924,37.0,21.37,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
5112,28.0,21.13,41.87,62.92,84.02,88.52,104.92,126.35,148.15,169.7,0,1,179.15
5259,28.0,21.08,41.93,62.75,83.68,0.0,0.0,0.0,0.0,0.0,0,0,0.0
6492,35.0,21.18,42.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
16323,24.0,21.0,41.33,61.98,82.92,87.48,104.03,125.9,147.9,169.48,1,0,179.23
4161,39.0,20.98,40.95,60.88,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
6828,35.0,21.25,42.53,63.78,84.83,89.37,105.82,127.32,148.97,170.23,0,1,179.63
5687,37.0,20.88,42.05,63.02,84.25,88.85,105.42,126.95,148.7,170.45,0,1,179.65
7095,37.0,21.08,42.15,63.13,84.38,89.02,105.68,127.68,149.52,170.0,0,1,179.67
3831,37.0,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
5405,29.0,21.47,42.45,63.43,84.67,0.0,0.0,0.0,0.0,0.0,0,0,0.0
8581,37.0,20.8,41.53,62.33,83.5,87.98,104.65,0.0,0.0,0.0,0,0,0.0
31180,22.0,22.73,43.95,65.02,86.15,90.78,107.03,127.82,148.88,170.62,0,1,179.88
4534,23.0,22.17,43.77,65.35,87.03,91.62,108.33,129.82,151.28,171.68,0,1,180.03
3910,39.0,21.5,42.75,63.68,84.83,89.42,0.0,0.0,0.0,0.0,0,0,0.0
6472,38.0,21.07,41.6,61.95,82.73,87.18,0.0,0.0,0.0,0.0,0,0,0.0
1809,25.0,20.73,41.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
5881,34.0,21.03,42.2,63.3,84.7,89.4,106.08,127.73,0.0,0.0,0,0,0.0
4829,38.0,21.33,42.32,63.05,83.98,88.57,104.8,126.1,147.98,170.55,0,1,180.38
6651,28.0,21.53,42.7,63.83,85.07,0.0,0.0,0.0,0.0,0.0,0,0,0.0
12293,30.0,21.73,42.9,63.53,84.5,89.02,105.42,127.18,149.2,170.9,1,0,180.68
6806,27.0,20.52,41.0,61.57,82.57,87.12,103.67,125.53,148.3,170.77,1,0,180.83
4488,29.0,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2556,31.0,21.33,42.32,63.28,84.4,89.0,105.47,127.13,149.55,171.52,0,1,181.1
2563,25.0,20.67,41.7,62.65,83.55,88.05,104.4,0.0,0.0,0.0,0,0,0.0
2644,29.0,19.92,39.75,59.85,80.18,0.0,0.0,0.0,0.0,0.0,0,0,0.0
7326,37.0,21.83,43.5,65.03,86.73,91.35,108.15,0.0,0.0,0.0,0,0,0.0
5413,36.0,20.95,42.15,63.35,84.8,89.53,0.0,0.0,0.0,0.0,0,0,0.0
6015,36.0,20.93,41.85,62.7,83.67,88.25,104.83,126.52,148.78,171.38,0,1,181.62
2712,30.0,20.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
6661,37.0,21.78,43.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
13055,29.0,21.87,43.13,64.42,85.72,90.4,107.02,128.62,150.67,172.55,1,0,181.67
5546,38.0,21.38,42.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
5667,29.0,20.47,40.93,61.58,82.43,86.92,103.63,125.87,0.0,0.0,0,0,0.0
10480,27.0,21.78,43.5,65.17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2059,32.0,21.32,41.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
5409,37.0,21.55,43.05,64.82,86.62,91.35,108.35,130.12,151.72,172.92,1,0,181.93
941,37.0,19.72,39.9,60.47,81.48,86.12,103.05,125.42,148.42,171.72,1,0,182.23
12733,26.0,21.25,41.88,62.43,83.1,87.58,104.67,127.15,151.0,172.75,1,0,182.28
31712,38.0,21.43,42.18,63.33,84.73,89.35,0.0,0.0,0.0,0.0,0,0,0.0
5292,34.0,21.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
6009,30.0,20.62,41.18,61.9,82.88,87.45,0.0,0.0,0.0,0.0,0,0,0.0
4950,25.0,21.45,42.77,63.93,85.22,89.95,107.07,129.27,0.0,0.0,0,0,0.0
6397,39.0,20.82,41.55,62.55,83.9,88.53,105.28,0.0,0.0,0.0,0,0,0.0
4856,39.0,21.1,42.02,62.97,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
12183,20.0,22.05,43.67,65.03,86.37,90.93,107.52,129.35,151.38,172.97,1,0,182.8
